"251","Sutter Av - Rutland Rd","3S"
"252","Saratoga Av","3S"
"253","Rockaway Av","3S"
"254","Junius St","3S"
"255","Pennsylvania Av","3S"
"256","Van Siclen Av","3S"
"257","New Lots Av","3S"
"401","Woodlawn","4S"
"402","Mosholu Pkwy","4S"
"405","Bedford Park Blvd - Lehman College","4S"
"406","Kingsbridge Rd","4S"
"407","Fordham Rd","4S"
"408","183 St","4S"
"409","Burnside Av","4S"
"410","176 St","4S"
"411","Mt Eden Av","4S"
"412","170 St","4S"
"413","167 St","4S"
"414","161 St - Yankee Stadium","4S"
"415","149 St - Grand Concourse","4S"
"416","138 St - Grand Concourse","4S"
"621","125 St","4S"
"626","86 St","4S"
"629","59 St","4S"
"631","Grand Central - 42 St","4S"
"635","14 St - Union Sq","4S"
"640","Brooklyn Bridge - City Hall","4S"
"418","Fulton St","4S"
"419","Wall St","4S"
"420","Bowling Green","4S"
"423","Borough Hall","4S"
"234","Nevins St","4S"
"235","Atlantic Av - Barclays Ctr","4S"
"236","Bergen St","4S"
"237","Grand Army Plaza","4S"
"238","Eastern Pkwy - Brooklyn Museum","4S"
"239","Franklin Av","4S"
"248","Nostrand Av","4S"
"249","Kingston Av","4S"
"250","Crown Hts - Utica Av","4S"
"251","Sutter Av - Rutland Rd","4S"
"252","Saratoga Av","4S"
"253","Rockaway Av","4S"
"254","Junius St","4S"
"255","Pennsylvania Av","4S"
"256","Van Siclen Av","4S"
"257","New Lots Av","4S"
"257","New Lots Av","4N"
"256","Van Siclen Av","4N"
"255","Pennsylvania Av","4N"
"254","Junius St","4N"
"253","Rockaway Av","4N"
"252","Saratoga Av","4N"
"251","Sutter Av - Rutland Rd","4N"
"250","Crown Hts - Utica Av","4N"
"249","Kingston Av","4N"
"248","Nostrand Av","4N"
"239","Franklin Av","4N"
"238","Eastern Pkwy - Brooklyn Museum","4N"
"237","Grand Army Plaza","4N"
"236","Bergen St","4N"
"235","Atlantic Av - Barclays Ctr","4N"
"234","Nevins St","4N"
"423","Borough Hall","4N"
"420","Bowling Green","4N"
"419","Wall St","4N"
"418","Fulton St","4N"
"640","Brooklyn Bridge - City Hall","4N"
"639","Canal St","4N"
"638","Spring St","4N"
"637","Bleecker St","4N"
"636","Astor Pl","4N"
"635","14 St - Union Sq","4N"
"634","23 St","4N"
"633","28 St","4N"
"632","33 St","4N"
"631","Grand Central - 42 St","4N"
"630","51 St","4N"
"629","59 St","4N"
"628","68 St - Hunter College","4N"
"627","77 St","4N"
"626","86 St","4N"
"625","96 St","4N"
"624","103 St","4N"
"623","110 St","4N"
"622","116 St","4N"
"621","125 St","4N"
"416","138 St - Grand Concourse","4N"
"415","149 St - Grand Concourse","4N"
"414","161 St - Yankee Stadium","4N"
"413","167 St","4N"
"412","170 St","4N"
"411","Mt Eden Av","4N"
"410","176 St","4N"
"409","Burnside Av","4N"
"408","183 St","4N"
"407","Fordham Rd","4N"
"406","Kingsbridge Rd","4N"
"405","Bedford Park Blvd - Lehman College","4N"
"402","Mosholu Pkwy","4N"
"401","Woodlawn","4N"
"622","116 St","4S"
"623","110 St","4S"
"624","103 St","4S"
"625","96 St","4S"
"627","77 St","4S"
"628","68 St - Hunter College","4S"
"630","51 St","4S"
"632","33 St","4S"
"633","28 St","4S"
"634","23 St","4S"
"636","Astor Pl","4S"
"637","Bleecker St","4S"
"638","Spring St","4S"
"639","Canal St","4S"
"501","Eastchester - Dyre Av","5S"
"502","Baychester Av","5S"
"503","Gun Hill Rd","5S"
"504","Pelham Pkwy","5S"
"505","Morris Park","5S"
"213","E 180 St","5S"
"213","E 180 St","5N"
"505","Morris Park","5N"
"504","Pelham Pkwy","5N"
"503","Gun Hill Rd","5N"
"502","Baychester Av","5N"
"501","Eastchester - Dyre Av","5N"
"257","New Lots Av","5N"
"256","Van Siclen Av","5N"
"255","Pennsylvania Av","5N"
"254","Junius St","5N"
"253","Rockaway Av","5N"
"252","Saratoga Av","5N"
"251","Sutter Av - Rutland Rd","5N"
"250","Crown Hts - Utica Av","5N"
"249","Kingston Av","5N"
"248","Nostrand Av","5N"
"239","Franklin Av","5N"
"235","Atlantic Av - Barclays Ctr","5N"
"234","Nevins St","5N"
"423","Borough Hall","5N"
"420","Bowling Green","5N"
"419","Wall St","5N"
"418","Fulton St","5N"
"640","Brooklyn Bridge - City Hall","5N"
"635","14 St - Union Sq","5N"
"631","Grand Central - 42 St","5N"
"629","59 St","5N"
"626","86 St","5N"
"621","125 St","5N"
"416","138 St - Grand Concourse","5N"
"222","149 St - Grand Concourse","5N"
"221","3 Av - 149 St","5N"
"220","Jackson Av","5N"
"219","Prospect Av","5N"
"218","Intervale Av","5N"
"217","Simpson St","5N"
"216","Freeman St","5N"
"215","174 St","5N"
"214","West Farms Sq - E Tremont Av","5N"
"247","Flatbush Av - Brooklyn College","5N"
"246","Newkirk Av","5N"
"245","Beverly Rd","5N"
"244","Church Av","5N"
"243","Winthrop St","5N"
"242","Sterling St","5N"
"241","President St","5N"
"214","West Farms Sq - E Tremont Av","5S"
"215","174 St","5S"
"216","Freeman St","5S"
"217","Simpson St","5S"
"218","Intervale Av","5S"
"219","Prospect Av","5S"
"220","Jackson Av","5S"
"221","3 Av - 149 St","5S"
"222","149 St - Grand Concourse","5S"
"416","138 St - Grand Concourse","5S"
"621","125 St","5S"
"626","86 St","5S"
"629","59 St","5S"
"631","Grand Central - 42 St","5S"
"635","14 St - Union Sq","5S"
"640","Brooklyn Bridge - City Hall","5S"
"418","Fulton St","5S"
"419","Wall St","5S"
"420","Bowling Green","5S"
"423","Borough Hall","5S"
"234","Nevins St","5S"
"235","Atlantic Av - Barclays Ctr","5S"
"239","Franklin Av","5S"
"241","President St","5S"
"242","Sterling St","5S"
"243","Winthrop St","5S"
"244","Church Av","5S"
"245","Beverly Rd","5S"
"246","Newkirk Av","5S"
"247","Flatbush Av - Brooklyn College","5S"
"204","Nereid Av","5S"
"205","233 St","5S"
"206","225 St","5S"
"207","219 St","5S"
"208","Gun Hill Rd","5S"
"209","Burke Av","5S"
"210","Allerton Av","5S"
"211","Pelham Pkwy","5S"
"212","Bronx Park East","5S"
"250","Crown Hts - Utica Av","5S"
"212","Bronx Park East","5N"
"211","Pelham Pkwy","5N"
"210","Allerton Av","5N"
"209","Burke Av","5N"
"208","Gun Hill Rd","5N"
"207","219 St","5N"
"206","225 St","5N"
"205","233 St","5N"
"204","Nereid Av","5N"
"251","Sutter Av - Rutland Rd","5S"
"252","Saratoga Av","5S"
"253","Rockaway Av","5S"
"254","Junius St","5S"
"255","Pennsylvania Av","5S"
"256","Van Siclen Av","5S"
"257","New Lots Av","5S"
"601","Pelham Bay Park","6S"
"602","Buhre Av","6S"
"603","Middletown Rd","6S"
"604","Westchester Sq - E Tremont Av","6S"
"606","Zerega Av","6S"
"607","Castle Hill Av","6S"
"608","Parkchester","6S"
"609","St Lawrence Av","6S"
"610","Morrison Av- Sound View","6S"
"611","Elder Av","6S"
"612","Whitlock Av","6S"
"613","Hunts Point Av","6S"
"614","Longwood Av","6S"
"615","E 149 St","6S"
"616","E 143 St - St Mary's St","6S"
"617","Cypress Av","6S"
"618","Brook Av","6S"
"619","3 Av - 138 St","6S"
"621","125 St","6S"
"622","116 St","6S"
"623","110 St","6S"
"624","103 St","6S"
"625","96 St","6S"
"626","86 St","6S"
"627","77 St","6S"
"628","68 St - Hunter College","6S"
"629","59 St","6S"
"630","51 St","6S"
"631","Grand Central - 42 St","6S"
"632","33 St","6S"
"633","28 St","6S"
"634","23 St","6S"
"635","14 St - Union Sq","6S"
"636","Astor Pl","6S"
"637","Bleecker St","6S"
"638","Spring St","6S"
"639","Canal St","6S"
"640","Brooklyn Bridge - City Hall","6S"
"640","Brooklyn Bridge - City Hall","6N"
"639","Canal St","6N"
"638","Spring St","6N"
